"Condition","p_value","Marker"
"CEM",0.01953125,"Ki-67_Cluster1"
"HUT78",0.0546875,"Ki-67_Cluster1"
"K562",0.0390625,"Ki-67_Cluster1"
"Untreated",0.12890625,"Ki-67_Cluster1"
"CEM",0.02734375,"Ki-67_Cluster2"
"HUT78",0.12890625,"Ki-67_Cluster2"
"K562",0.1640625,"Ki-67_Cluster2"
"Untreated",0.0390625,"Ki-67_Cluster2"
"CEM",0.00390625,"Ki-67_Cluster3"
"HUT78",0.00390625,"Ki-67_Cluster3"
"K562",0.01171875,"Ki-67_Cluster3"
"Untreated",0.0078125,"Ki-67_Cluster3"
"CEM",0.5703125,"Ki-67_Cluster4"
"HUT78",0.25,"Ki-67_Cluster4"
"K562",0.0390625,"Ki-67_Cluster4"
"Untreated",0.0390625,"Ki-67_Cluster4"
"CEM",0.02734375,"Ki-67_Cluster5"
"HUT78",0.07421875,"Ki-67_Cluster5"
"K562",0.00390625,"Ki-67_Cluster5"
"Untreated",0.203125,"Ki-67_Cluster5"
"CEM",0.1640625,"NKp46_Cluster1"
"HUT78",0.42578125,"NKp46_Cluster1"
"K562",0.09765625,"NKp46_Cluster1"
"Untreated",0.30078125,"NKp46_Cluster1"
"CEM",0.65234375,"NKp46_Cluster2"
"HUT78",0.8203125,"NKp46_Cluster2"
"K562",0.65234375,"NKp46_Cluster2"
"Untreated",1,"NKp46_Cluster2"
"CEM",0.65234375,"NKp46_Cluster3"
"HUT78",0.8203125,"NKp46_Cluster3"
"K562",0.734375,"NKp46_Cluster3"
"Untreated",0.49609375,"NKp46_Cluster3"
"CEM",0.0078125,"NKp46_Cluster4"
"HUT78",0.12890625,"NKp46_Cluster4"
"K562",0.01171875,"NKp46_Cluster4"
"Untreated",0.02734375,"NKp46_Cluster4"
"CEM",0.01171875,"NKp46_Cluster5"
"HUT78",0.25,"NKp46_Cluster5"
"K562",0.09765625,"NKp46_Cluster5"
"Untreated",0.01953125,"NKp46_Cluster5"
"CEM",0.42578125,"NKp30_Cluster1"
"HUT78",0.42578125,"NKp30_Cluster1"
"K562",0.42578125,"NKp30_Cluster1"
"Untreated",0.42578125,"NKp30_Cluster1"
"CEM",0.0390625,"NKp30_Cluster2"
"HUT78",0.01171875,"NKp30_Cluster2"
"K562",0.01953125,"NKp30_Cluster2"
"Untreated",0.0078125,"NKp30_Cluster2"
"CEM",0.91015625,"NKp30_Cluster3"
"HUT78",0.734375,"NKp30_Cluster3"
"K562",1,"NKp30_Cluster3"
"Untreated",0.8203125,"NKp30_Cluster3"
"CEM",0.0390625,"NKp30_Cluster4"
"HUT78",0.0546875,"NKp30_Cluster4"
"K562",0.0078125,"NKp30_Cluster4"
"Untreated",0.01171875,"NKp30_Cluster4"
"CEM",0.0546875,"NKp30_Cluster5"
"HUT78",0.07421875,"NKp30_Cluster5"
"K562",0.02734375,"NKp30_Cluster5"
"Untreated",0.09765625,"NKp30_Cluster5"
"CEM",0.359375,"CD127_Cluster1"
"HUT78",0.49609375,"CD127_Cluster1"
"K562",0.359375,"CD127_Cluster1"
"Untreated",0.8203125,"CD127_Cluster1"
"CEM",0.0078125,"CD127_Cluster2"
"HUT78",0.01953125,"CD127_Cluster2"
"K562",0.00390625,"CD127_Cluster2"
"Untreated",0.01171875,"CD127_Cluster2"
"CEM",0.734375,"CD127_Cluster3"
"HUT78",0.25,"CD127_Cluster3"
"K562",0.65234375,"CD127_Cluster3"
"Untreated",0.5703125,"CD127_Cluster3"
"CEM",0.65234375,"CD127_Cluster4"
"HUT78",0.5703125,"CD127_Cluster4"
"K562",0.734375,"CD127_Cluster4"
"Untreated",0.734375,"CD127_Cluster4"
"CEM",0.00390625,"CD127_Cluster5"
"HUT78",0.07421875,"CD127_Cluster5"
"K562",0.65234375,"CD127_Cluster5"
"Untreated",0.30078125,"CD127_Cluster5"
"CEM",0.5703125,"MIP-1b_Cluster1"
"HUT78",0.5703125,"MIP-1b_Cluster1"
"K562",0.07421875,"MIP-1b_Cluster1"
"Untreated",0.91015625,"MIP-1b_Cluster1"
"CEM",0.734375,"MIP-1b_Cluster2"
"HUT78",0.07421875,"MIP-1b_Cluster2"
"K562",0.30078125,"MIP-1b_Cluster2"
"Untreated",0.49609375,"MIP-1b_Cluster2"
"CEM",0.02734375,"MIP-1b_Cluster3"
"HUT78",0.12890625,"MIP-1b_Cluster3"
"K562",0.09765625,"MIP-1b_Cluster3"
"Untreated",0.42578125,"MIP-1b_Cluster3"
"CEM",0.734375,"MIP-1b_Cluster4"
"HUT78",0.65234375,"MIP-1b_Cluster4"
"K562",0.02734375,"MIP-1b_Cluster4"
"Untreated",0.07421875,"MIP-1b_Cluster4"
"CEM",0.01171875,"MIP-1b_Cluster5"
"HUT78",1,"MIP-1b_Cluster5"
"K562",0.42578125,"MIP-1b_Cluster5"
"Untreated",0.49609375,"MIP-1b_Cluster5"
"CEM",0.359375,"Perforin_Cluster1"
"HUT78",0.42578125,"Perforin_Cluster1"
"K562",0.12890625,"Perforin_Cluster1"
"Untreated",0.65234375,"Perforin_Cluster1"
"CEM",0.25,"Perforin_Cluster2"
"HUT78",0.30078125,"Perforin_Cluster2"
"K562",0.30078125,"Perforin_Cluster2"
"Untreated",0.30078125,"Perforin_Cluster2"
"CEM",0.91015625,"Perforin_Cluster3"
"HUT78",0.734375,"Perforin_Cluster3"
"K562",1,"Perforin_Cluster3"
"Untreated",0.8203125,"Perforin_Cluster3"
"CEM",0.203125,"Perforin_Cluster4"
"HUT78",0.07421875,"Perforin_Cluster4"
"K562",0.203125,"Perforin_Cluster4"
"Untreated",0.8203125,"Perforin_Cluster4"
"CEM",0.07421875,"Perforin_Cluster5"
"HUT78",0.0390625,"Perforin_Cluster5"
"K562",0.01953125,"Perforin_Cluster5"
"Untreated",0.09765625,"Perforin_Cluster5"
"CEM",0.203125,"CD107a_Cluster1"
"HUT78",0.00390625,"CD107a_Cluster1"
"K562",0.00390625,"CD107a_Cluster1"
"Untreated",0.0390625,"CD107a_Cluster1"
"CEM",0.42578125,"CD107a_Cluster2"
"HUT78",0.49609375,"CD107a_Cluster2"
"K562",0.49609375,"CD107a_Cluster2"
"Untreated",0.1640625,"CD107a_Cluster2"
"CEM",0.91015625,"CD107a_Cluster3"
"HUT78",0.359375,"CD107a_Cluster3"
"K562",0.5703125,"CD107a_Cluster3"
"Untreated",0.734375,"CD107a_Cluster3"
"CEM",0.07421875,"CD107a_Cluster4"
"HUT78",0.0546875,"CD107a_Cluster4"
"K562",0.00390625,"CD107a_Cluster4"
"Untreated",0.0390625,"CD107a_Cluster4"
"CEM",0.12890625,"CD107a_Cluster5"
"HUT78",0.65234375,"CD107a_Cluster5"
"K562",1,"CD107a_Cluster5"
"Untreated",0.203125,"CD107a_Cluster5"
"CEM",0.0390625,"FASL (CD178)_Cluster1"
"HUT78",0.01953125,"FASL (CD178)_Cluster1"
"K562",0.02734375,"FASL (CD178)_Cluster1"
"Untreated",0.0078125,"FASL (CD178)_Cluster1"
"CEM",0.01171875,"FASL (CD178)_Cluster2"
"HUT78",0.07421875,"FASL (CD178)_Cluster2"
"K562",0.02734375,"FASL (CD178)_Cluster2"
"Untreated",0.02734375,"FASL (CD178)_Cluster2"
"CEM",0.359375,"FASL (CD178)_Cluster3"
"HUT78",0.30078125,"FASL (CD178)_Cluster3"
"K562",0.42578125,"FASL (CD178)_Cluster3"
"Untreated",0.42578125,"FASL (CD178)_Cluster3"
"CEM",0.8203125,"FASL (CD178)_Cluster4"
"HUT78",0.91015625,"FASL (CD178)_Cluster4"
"K562",0.5703125,"FASL (CD178)_Cluster4"
"Untreated",1,"FASL (CD178)_Cluster4"
"CEM",0.203125,"FASL (CD178)_Cluster5"
"HUT78",0.49609375,"FASL (CD178)_Cluster5"
"K562",0.734375,"FASL (CD178)_Cluster5"
"Untreated",0.12890625,"FASL (CD178)_Cluster5"
"CEM",0.42578125,"CX3CR1_Cluster1"
"HUT78",0.5703125,"CX3CR1_Cluster1"
"K562",0.8203125,"CX3CR1_Cluster1"
"Untreated",0.91015625,"CX3CR1_Cluster1"
"CEM",0.49609375,"CX3CR1_Cluster2"
"HUT78",0.42578125,"CX3CR1_Cluster2"
"K562",1,"CX3CR1_Cluster2"
"Untreated",0.5703125,"CX3CR1_Cluster2"
"CEM",0.25,"CX3CR1_Cluster3"
"HUT78",0.8203125,"CX3CR1_Cluster3"
"K562",0.49609375,"CX3CR1_Cluster3"
"Untreated",0.91015625,"CX3CR1_Cluster3"
"CEM",1,"CX3CR1_Cluster4"
"HUT78",0.30078125,"CX3CR1_Cluster4"
"K562",0.65234375,"CX3CR1_Cluster4"
"Untreated",0.07421875,"CX3CR1_Cluster4"
"CEM",0.00390625,"CX3CR1_Cluster5"
"HUT78",0.07421875,"CX3CR1_Cluster5"
"K562",0.0078125,"CX3CR1_Cluster5"
"Untreated",0.12890625,"CX3CR1_Cluster5"
"CEM",0.5703125,"TIGIT_Cluster1"
"HUT78",1,"TIGIT_Cluster1"
"K562",0.8203125,"TIGIT_Cluster1"
"Untreated",1,"TIGIT_Cluster1"
"CEM",0.359375,"TIGIT_Cluster2"
"HUT78",0.49609375,"TIGIT_Cluster2"
"K562",0.07421875,"TIGIT_Cluster2"
"Untreated",0.01953125,"TIGIT_Cluster2"
"CEM",1,"TIGIT_Cluster3"
"HUT78",0.5703125,"TIGIT_Cluster3"
"K562",1,"TIGIT_Cluster3"
"Untreated",0.91015625,"TIGIT_Cluster3"
"CEM",0.0078125,"TIGIT_Cluster4"
"HUT78",0.01953125,"TIGIT_Cluster4"
"K562",0.0078125,"TIGIT_Cluster4"
"Untreated",0.01953125,"TIGIT_Cluster4"
"CEM",0.359375,"TIGIT_Cluster5"
"HUT78",0.0390625,"TIGIT_Cluster5"
"K562",0.359375,"TIGIT_Cluster5"
"Untreated",0.12890625,"TIGIT_Cluster5"
